id,zone,state,city,name,type,year,time_hr,rating,fee,airport_50km,weekly_off,significance,best_daytime,area
1,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,1,,Historical,Evening,
2,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,1,,Historical,Afternoon,
3,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,1,,Religious,Afternoon,
4,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,1,Monday,Environmental,Evening,
5,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,1,,Scientific,Morning,
6,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,1,Sunday,Market,Afternoon,
7,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,1,Monday,Religious,Evening,
8,Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,1,,Historical,Afternoon,
9,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,1,,Historical,Afternoon,
10,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,1,,Botanical,Afternoon,
11,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,1,,Botanical,Morning,
12,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,1,,Botanical,,
13,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,1,Monday,Artistic,,
14,Northern,Delhi,Delhi,National Zoological Park,Zoo,1959,3.0,4.1,80,1,Friday,Environmental,,
15,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,1,,Historical,Afternoon,
16,Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,1,,Scientific,,
17,Western,Maharastra,Mumbai,Marine Drive,Promenade,,2.0,4.5,0,1,,Scenic,Evening,
18,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,1,,Historical,,
19,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500,1,,Historical,,
20,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,1,Monday,Wildlife,,
21,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,1,,Religious,,
22,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,1,,Religious,,
23,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0,1,,Religious,,
24,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,,2.0,4.3,0,1,,Recreational,Evening,
25,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,1,,Recreational,,
26,Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,1,,Historical,,
27,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149,0,Monday,Recreational,,
28,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500,1,Monday,Historical,Morning,
29,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,1,,Nature,Evening,
30,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0,1,,Nature,Morning,
31,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,1,,Architectural,Morning,
32,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0,1,,Religious,Evening,
33,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25,1,Friday,Historical,Morning,
34,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30,1,,Historical,Morning,
35,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.3,0,1,,Scenic,Evening,
36,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,1,,Entertainment,,
37,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.4,20,1,,Historical,,
38,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1.0,4.4,25,1,,Historical,Morning,
39,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,1,,Religious,,
40,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,1,,Historical,Morning,
41,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50,1,,Wildlife,Morning,
42,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1.0,4.1,20,1,,Recreational,Evening,
43,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,1,Monday,Historical,Morning,
44,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,1,,Architectural,Anytime,
45,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50,1,Monday,Historical,Morning,
46,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,1,,Religious,Morning,
47,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0,1,,Religious,Morning,
48,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,1,,Sports,,
49,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25,1,,Wildlife,Afternoon,
50,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,1,,Educational,,
51,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,1,,Religious,Morning,
52,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0,1,,Historical,Afternoon,
53,Southern,Goa,Goa,Calangute Beach,Beach,,2.0,4.4,0,1,,Scenic,Evening,
54,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,1,,Historical,Afternoon,
55,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,1,,Historical,Morning,
56,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,,3.0,4.6,500,1,,Nature,Afternoon,
57,Southern,Goa,Goa,Anjuna Beach,Beach,,2.0,4.4,0,1,,Scenic,Evening,
58,Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0,1,,Historical,Evening,
59,Southern,Goa,Goa,Se Cathedral,Church,1640,1.0,4.5,0,1,,Historical,Afternoon,
60,Southern,Goa,Goa,Baga Beach,Beach,,2.0,4.5,0,1,,Scenic,Evening,
61,Southern,Goa,Goa,Arambol Beach,Beach,,2.0,4.6,0,1,,Scenic,Evening,
62,Southern,Goa,Goa,Palolem Beach,Beach,,2.0,4.6,0,1,,Scenic,Evening,
63,Southern,Goa,Goa,Colva Beach,Beach,,2.0,4.3,0,1,,Scenic,Evening,
64,Southern,Goa,Goa,Miramar Beach,Beach,,1.5,4.2,0,1,,Scenic,Evening,
65,Southern,Goa,Goa,Aguada Beach,Beach,,2.0,4.5,0,1,,Scenic,Evening,
66,Southern,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,1988,2.0,3.9,10,1,,Wildlife,Afternoon,
67,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915,1.5,4.6,0,1,,Historical,Morning,
68,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,,2.0,4.7,0,0,,Religious,Evening,
69,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500,0,,Wildlife,Morning,
70,Western,Gujarat,Bhuj,White Desert,Site,1950,2.5,4.6,0,1,,Nature,Evening,
71,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890,2.0,4.4,200,1,Monday,Historical,Afternoon,
72,Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2.0,4.8,0,0,,Religious,Morning,
73,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,,3.0,4.9,7500,1,,Cultural,Evening,
74,Western,Gujarat,Kevadia,Statue of Unity,Monument,2018,3.0,4.6,350,0,Monday,Historical,,
75,Western,Gujarat,Gandhinagar,Dandi Kutir,Museum,2013,1.5,4.5,0,0,,Historical,,
76,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,2012,1.0,4.6,0,1,,Recreational,Evening,
77,Western,Gujarat,Ahmedabad,Manek Chowk,Market,,2.0,4.4,0,1,,Food,Night,
78,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,3.0,4.5,10,1,,Recreational,Afternoon,
79,Western,Gujarat,Ahmedabad,Science City,Science,2002,7.0,4.4,500,1,Monday,Educational,,
80,Northern,Rajasthan,Jaipur,Hawa Mahal,Palace,1799,1.0,4.4,50,1,,Architectural,Afternoon,Badi Choupad
81,Northern,Rajasthan,Jaipur,City Palace,Palace,1727,2.0,4.4,200,1,,Historical,Evening,Gangori Bazaar
82,Northern,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,1156,2.5,4.4,50,0,,Historical,,
83,Northern,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,1980,3.0,4.6,500,0,,Wildlife,,
84,Northern,Rajasthan,Pushkar,Pushkar Lake,Temple,1400,1.5,4.4,0,0,,Religious,,
85,Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1.0,4.6,0,1,,Religious,,
86,Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2.0,4.6,100,1,,Historical,,
87,Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2.0,4.6,40,0,,Historical,,
88,Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1.0,4.6,0,0,,Religious,,
89,Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2.0,4.5,50,1,,Historical,,
90,Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2.0,4.6,100,1,,Historical,Morning,Amer
91,Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35,1,,Historical,Morning,Amer
92,Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1.0,4.6,0,1,,Nature,,
93,Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,0,1,,Spiritual,,
94,Northern,Punjab,Amritsar,Jallianwala Bagh,Memorial,1951,1.0,4.8,0,1,,Historical,Afternoon,
95,Northern,Punjab,Amritsar,Wagah Border,Border Crossing,1950,2.0,4.8,0,1,,Cultural,Evening,
96,Northern,Punjab,Chandigarh,Rock Garden,Sculpture Garden,1976,2.0,4.5,30,1,,Artistic,,
97,Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,,1.5,4.5,0,1,,Recreational,,
98,Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,,2.0,4.3,0,0,,Nature,,
99,Southern,Kerala,Kochi,Fort Kochi,Site,1503,1.0,4.4,0,1,,Historical,,
100,Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,,1.0,4.7,0,1,,Religious,,
101,Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,,1.5,3.9,0,1,,Recreational,,
102,Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,,3.0,4.5,300,0,,Wildlife,,
103,Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3.0,4.3,50,0,,Wildlife,,
104,Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2.0,3.8,50,1,,Wildlife,,
105,Southern,Kerala,Varkala,Varkala Beach,Beach,,2.0,4.6,0,1,,Recreational,,
106,Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,0,,Historical,,
107,Southern,Kerala,Kovalam,Kovalam Beach,Beach,,2.0,4.4,0,1,,Recreational,,
108,Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1.0,4.4,20,1,,Historical,,
109,Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,,1.0,4.5,0,0,,Nature,Morning,
110,Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,1,Monday,Cultural,,
111,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4.0,4.5,890,1,,Entertainment,Morning,Mysore Road
112,Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2.0,4.6,50,1,,Historical,,
113,Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,,3.0,4.7,0,0,,Historical,,
114,Southern,Karnataka,Coorg,Abbey Falls,Waterfall,,1.0,4.1,0,0,,Nature,Morning,
115,Southern,Karnataka,Gokarna,Om Beach,Beach,,2.0,4.5,0,0,,Nature,,
116,Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,,3.0,4.5,0,0,,Nature,,
117,Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,0,,Religious,,
118,Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,0,,Nature,Morning,
119,Southern,Karnataka,Mangalore,Panambur Beach,Beach,,1.5,4.5,0,1,,Recreational,,
120,Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,,1.0,4.7,0,1,,Religious,,
121,Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,0,,Historical,,
122,Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3.0,4.4,300,0,,Wildlife,Morning,
123,Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1.0,4.7,15,0,,Religious,,
124,Western,Maharastra,Pune,Shaniwar Wada,Fort,1732,2.0,4.4,50,1,,Historical,,
125,Western,Maharastra,Aurangabad,Ajanta Caves,Cave,200,3.0,4.6,30,1,Monday,Historical,Afternoon,
126,Western,Maharastra,Nashik,Sula Vineyards,Vineyard,1999,2.0,4.1,300,1,,Recreational,Afternoon,
127,Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,1,,Religious,,
128,Western,Maharastra,Alibaug,Alibaug Beach,Beach,,1.5,4.2,0,1,,Recreational,Evening,
129,Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1600,1.0,4.7,0,0,,Religious,,
130,Western,Maharastra,Nagpur,Deekshabhoomi,Monument,2001,1.0,4.5,0,1,,Religious,Afternoon,
131,Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,700,1.0,4.8,0,1,,Religious,,
132,Western,Maharastra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,1,Yes,Historical,Afternoon,
133,Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,,2.0,4.6,0,0,,Recreational,Evening,
134,Western,Maharashtra,Satara,Kaas Plateau,Valley,,2.0,4.4,300,0,,Nature,Afternoon,
135,Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,1,,Nature,Morning,
136,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3.0,4.7,30,1,Tuesday,Historical,Afternoon,
137,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,,2.0,4.7,40,0,,Cultural,Afternoon,
138,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,,1.5,4.7,30,1,,Historical,Afternoon,
139,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1.0,4.4,10,1,,Historical,Afternoon,
140,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,1,,Historical,Morning,
141,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,,1.5,4.8,0,1,,Religious,,
142,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,,1.0,4.5,0,0,,Nature,Morning,
143,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,,1.5,4.6,15,0,,Nature,Morning,
144,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3.0,4.5,100,0,,Wildlife,Morning,
145,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3.0,4.5,50,0,,Wildlife,Morning,
146,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,0,,Historical,Afternoon,
147,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1.0,3.9,50,0,,Historical,Afternoon,
148,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2.0,4.6,25,0,,Archaeological,Afternoon,
149,Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1.0,4.4,0,0,,Religious,,
150,Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,,1.5,4.4,0,0,,Nature,Morning,
151,Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,,1.0,4.7,0,1,,Recreational,Morning,
152,Northern,Himachal Pradesh,Manali,Solang Valley,Valley,,2.0,4.1,0,0,,Adventure,Morning,
153,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,1,,Religious,,
154,Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,,1.5,4.5,0,0,,Nature,Morning,
155,Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1.0,4.8,0,0,,Religious,Morning,
156,Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3.0,4.5,50,0,,Wildlife,,
157,Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,,2.0,4.4,0,0,,Recreational,Morning,
158,Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,,2.0,4.5,0,0,,Nature,Morning,
159,Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2.0,4.4,150,1,,Historical,,
160,Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,0,1,,Agricultural,Morning,
161,Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,0,0,,Nature,Morning,
162,Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2.0,4.8,2500,0,,Adventure,,
163,Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,,5.0,4.8,0,1,,Adventure,Morning,
164,Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1980,1.0,4.6,0,0,,Religious,Morning,
165,Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,,2.0,4.5,0,1,,Nature,,
166,Northern,Himachal Pradesh,Barot,Barot Valley,Valley,,2.0,4.7,0,0,,Nature,Morning,
167,Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,,2.5,4.4,0,0,,Nature,Morning,
168,Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5.0,3.8,1500,1,,Recreational,,
169,Northern,Uttarakhand,Nainital,Naini Lake,Lake,,1.5,4.2,0,1,,Nature,Morning,
170,Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1.0,4.4,0,1,,Cultural,Morning,
171,Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,,1.0,4.5,0,1,,Religious,,
172,Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,,1.5,4.5,25,1,,Nature,Morning,
173,Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,,1.5,4.2,15,1,,Nature,Morning,
174,Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,3.0,4.5,0,0,,Adventure,Morning,
175,Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,,1.0,4.8,0,0,,Religious,,
176,Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2.0,4.3,150,0,,Wildlife,,
