id,zone,state,city,name,type,year,time_hr,rating,fee,airport_50km,weekly_off,significance,best_daytime,area
177,Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1868,1.0,4.0,50,0,,Recreational,,
178,Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3.0,4.4,100,1,,Wildlife,,
179,Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,1.0,4.8,0,0,,Religious,,
180,Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,751,2.0,4.8,0,0,,Religious,,
181,Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,5.0,4.7,150,0,,Nature,Morning,
182,Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,1632,2.0,4.6,50,1,Friday,Historical,Morning,
183,Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,,1.0,4.7,0,1,,Religious,,
184,Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1784,1.5,4.4,50,1,Monday,Historical,,
185,Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,,1.0,4.7,0,1,,Religious,,
186,Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,,1.0,4.8,0,1,,Religious,,
187,Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1.0,4.8,0,1,,Religious,,
188,Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,,1.0,4.5,0,1,,Religious,Morning,
189,Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,4.4,15,1,,Historical,,
190,Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,,1.0,4.6,5,1,,Historical,,
191,Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2.0,4.4,40,1,,Historical,Afternoon,
192,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,4.3,30,1,,Wildlife,,
193,Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1.0,4.1,20,1,,Historical,Afternoon,
194,Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,,1.0,4.8,0,1,,Religious,,
195,Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2.0,4.2,150,1,Monday,Wildlife,,
196,Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,,2.0,4.6,0,1,,Nature,Morning,
197,Northern,Ladakh,Leh,Pangong Tso,Lake,,2.0,4.9,20,1,,Nature,Morning,
198,Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,,2.0,4.6,100,0,,Nature,,
199,Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,,5.0,4.7,0,1,,Religious,,
200,Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,,2.0,4.1,0,0,,Recreational,,
201,Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,,6.0,4.5,0,0,,Religious,,
202,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,30,1,,Religious,,
203,Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,,2.0,4.5,0,0,,Nature,,
204,Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,24,1.0,4.8,0,0,,Historical,,
205,Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1351,1.0,4.7,20,0,,Religious,Morning,
206,Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3.0,4.3,100,0,,Wildlife,,
207,Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4.0,4.4,20,0,,Wildlife,,
208,Northern,Ladakh,Dras,Dras War Memorial,War Memorial,,1.0,4.8,0,0,,Historical,,
209,Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,,0.5,3.7,0,1,,Nature,,
210,Northern,Ladakh,Leh,Khardung La Pass,Hill,,1.0,4.5,0,1,,Adventure,Afternoon,
212,Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,1,,Religious,Evening,
213,Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1.0,4.8,0,1,,Historical,Morning,
214,Central,Uttar Pradesh,Mathura,Nand Gaon,Village,,1.0,4.1,0,1,,Cultural,Morning,
215,Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,,1.0,4.8,0,1,,Religious,Morning,
216,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,,1.0,4.5,0,0,,Nature,,
217,Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3.0,4.4,250,1,,Wildlife,,
218,Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4.0,4.4,60,0,,Wildlife,,
219,Eastern,West Bengal,Digha,Digha Beach,Beach,,1.5,4.5,0,0,,Recreational,Morning,
220,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,1,Friday,Historical,Morning,
221,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,,0.5,4.7,0,1,,Religious,,
222,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,1,,Architectural,,
223,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3.0,4.4,100,1,,Wildlife,,
224,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1.0,4.5,20,1,Friday,Historical,,
225,Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,,2.5,4.5,0,0,,Nature,,
226,Eastern,Odisha,Puri,Jagannath Temple,Temple,,2.0,4.7,0,1,,Religious,,
227,Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,1,,Historical,,
228,Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,,1.0,4.6,0,1,,Religious,,
229,Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,,1.5,4.5,0,0,,Nature,,
230,Eastern,Odisha,Cuttack,Barabati Fort,Fort,,1.0,4.5,0,1,,Historical,,
231,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1.0,4.5,0,0,,Engineering Marvel,,
232,Eastern,Odisha,Chilika,Chilika Lake,Lake,,2.0,3.9,0,1,,Nature,Morning,
233,Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,,1.0,4.6,0,1,,Religious,,
234,Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,,1.0,4.3,0,0,,Nature,Morning,
235,Eastern,Odisha,Balasore,Chandipur Beach,Beach,,1.5,4.2,0,1,,Recreational,Morning,
236,Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,,1.0,4.4,0,0,,Nature,,
237,Southern,Tamil Nadu,Chennai,Marina Beach,Beach,,1.5,3.9,0,1,,Recreational,Morning,
238,Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,,2.0,4.7,0,1,,Religious,,
239,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,,1.5,4.7,0,1,,Religious,,
240,Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1.0,4.6,20,1,,Historical,Morning,
241,Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1.0,4.1,10,1,,Recreational,Morning,
242,Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,,1.0,4.7,0,1,,Religious,,
243,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2.0,3.9,0,0,,Recreational,Morning,
244,Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,1,,Religious,,
245,Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,,1.0,4.6,40,1,,Historical,,
246,Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,,1.0,4.2,0,0,,Recreational,Morning,
247,Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,,1.0,4.6,0,1,,Religious,,
248,Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,,1.0,4.7,0,1,,Religious,,
249,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,,1.0,4.7,0,1,,Religious,,
250,Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,,1.5,4.5,0,1,,Recreational,Morning,
251,Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,,1.0,4.7,0,0,,Religious,,
252,Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,,2.0,4.3,0,1,,Nature,,
253,Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,,1.5,4.6,0,0,,Historical,,
254,Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,,1.5,4.4,65,1,,Natural Wonder,Afternoon,
255,Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,,1.0,4.7,0,1,,Religious,,
256,Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,,1.0,4.4,10,1,,Wildlife,,
257,Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,,1.5,4.5,0,0,,Historical,Morning,
258,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1.0,4.7,0,1,,Religious,,
259,Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1.0,4.7,0,1,,Religious,,
260,Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,,2.0,4.5,0,1,,Recreational,,
261,Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1.0,4.6,40,1,,Historical,,
262,Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,,2.0,4.5,60,0,,Natural Wonder,Afternoon,
263,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,,1.0,4.6,0,1,,Historical,,
264,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2.0,4.1,20,1,Monday,Wildlife,Afternoon,
265,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,,1.0,3.8,20,1,,Recreational,,
266,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1.0,4.3,10,1,,Cultural,,
267,Eastern,Sikkim,Gangtok,Nathula Pass,Hill,,2.0,4.3,20,1,,Historical,Afternoon,
268,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1.0,4.6,20,0,,Religious,Morning,
269,Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2.0,4.7,50,1,,Religious,,
270,Eastern,Sikkim,Gangtok,Rumtek Monastery,Monastery,,1.0,4.6,10,1,,Religious,Morning,
271,Eastern,Sikkim,Ravangla,Buddha Park,Park,213,1.0,4.8,50,1,,Cultural,,
272,Eastern,Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,1967,1.0,4.7,0,1,,Religious,,
273,Eastern,Sikkim,Gangtok,Tsomgo Lake,Lake,,2.0,4.5,0,1,,Nature,Morning,
274,North Eastern,Assam,Guwahati,Kamakhya Temple,Temple,,2.0,4.6,0,1,,Religious,,
275,North Eastern,Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650,0,,Wildlife,Morning,
276,North Eastern,Assam,Guwahati,Umananda Island,Island,,1.0,4.1,0,1,,Nature,Morning,
277,North Eastern,Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1.0,4.7,0,0,,Historical,,
278,North Eastern,Assam,Majuli,Majuli Island,River Island,,2.0,4.7,0,0,,Cultural,Morning,
279,North Eastern,Assam,Manas,Manas National Park,National Park,1990,3.0,4.6,500,0,,Wildlife,Morning,
280,North Eastern,Assam,Hajo,Hayagriva Madhava Temple,Temple,,1.0,4.5,0,0,,Religious,,
281,North Eastern,Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2.0,4.4,500,1,,Wildlife,,
282,North Eastern,Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2.0,4.7,0,0,,Religious,Morning,
283,North Eastern,Tripura,Agartala,Ujjayanta Palace,Palace,1901,1.5,4.5,10,1,Monday,Historical,,
284,North Eastern,Tripura,Dumboor,Dumboor Lake,Lake,,1.0,4.5,0,0,,Nature,Morning,
285,North Eastern,Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,700,1.5,4.5,20,0,,Historical,Morning,
286,Central,Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,,1.5,4.6,0,0,,Nature,Morning,
287,North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,Valley,,3.0,4.7,0,0,,Trekking,Afternoon,
288,Southern,Puducherry,Puducherry,Promenade Beach,Beach,,1.0,4.5,0,1,,Recreational,Morning,
289,Southern,Puducherry,Auroville,Auroville,Township,1968,2.0,4.1,0,1,,Cultural,,
290,Southern,Puducherry,Puducherry,Paradise Beach,Beach,,1.0,4.5,200,1,,Recreational,Morning,
291,Southern,Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,1906,1.5,4.7,30,1,Monday,Historical,Afternoon,
292,Southern,Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,,1.0,4.8,0,0,,Nature,Morning,
293,Southern,Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,,1.0,4.5,0,0,,Nature,Morning,
294,Southern,Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,,1.5,4.4,250,0,,Nature,Morning,
295,Western,Daman and Diu,Diu,Naida Caves,Cave,,1.0,4.5,0,0,,Nature,Afternoon,
296,Western,Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,0,,Historical,Afternoon,
297,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,,1.0,4.7,0,1,,Religious,,
298,Eastern,Jharkhand,Ranchi,Pahari Mandir,Temple,,1.0,4.6,0,1,,Religious,,
299,Eastern,Bihar,Bodh Gaya,Mahabodhi Temple,Temple,,1.5,4.7,0,1,,Religious,,
300,Eastern,Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,,2.5,4.3,30,1,,Wildlife,,
301,Eastern,Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,,1.0,4.7,0,1,,Religious,,
302,Eastern,Bihar,Patna,Budhha Smriti Park,Park,,1.0,4.4,10,1,,Cultural,,
303,Northern,Haryana,Gurugram,Kingdom of Dreams,Entertainment,2010,3.0,4.4,1100,1,Monday,Entertainment,Afternoon,
304,Northern,Haryana,Gurugram,Ambience Mall,Mall,,2.0,4.6,0,1,,Shopping,Afternoon,
305,Northern,Haryana,Gurugram,DLF CyberHub,Commercial Complex,,2.0,4.7,0,1,,Entertainment,Afternoon,
306,Northern,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,,1.0,4.8,0,1,,Religious,,
307,Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,,1.5,4.8,0,0,,Religious,,
308,Central,Uttar Pradesh,Noida,DLF Mall of India,Mall,2016,2.0,4.6,0,1,,Shopping,,
309,Central,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,,2.0,4.2,0,1,,Shopping,,
311,Eastern,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,1960,3.0,4.4,50,1,Monday,Wildlife,Afternoon,
312,Southern,Karnataka,Bengaluru,Orion Mall,Mall,2012,2.0,4.5,0,1,,Shopping,Afternoon,Rajajinagar
313,Southern,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,2004,2.0,4.5,0,1,,Shopping,,
314,Northern,Delhi,New Delhi,Jama Masjid,Mosque,1656,1.0,4.5,0,1,,Historical,,
316,Central,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,2011,2.0,4.6,1500,1,Sunday,Sports,,
317,Central,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,2020,2.0,4.6,0,1,,Shopping,,
318,Southern,Kerala,Kochi,LuLu International Shopping Mall,Mall,2013,3.0,4.6,0,1,,Shopping,,
319,Northern,Delhi,New Delhi,Rail Museum,Museum,1977,2.0,4.4,50,1,Monday,Cultural,Morning,
320,North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,,2.0,4.6,0,0,,Nature,Morning,
321,Western,Gujarat,Gandhinagar,Akshardham,Temple,1992,3.0,4.6,0,1,Monday,Religious,,
322,Central,Uttar Pradesh,Agra,Agra Fort,Fort,1565,2.0,4.5,40,1,,Historical,Afternoon,
323,Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,2013,2.0,4.7,10,1,Monday,Cultural,,
324,Western,Rajasthan,Udaipur,City Palace,Historical,1559,2.5,4.8,300,1,Sunday,Historical,Morning,
325,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2.0,4.5,200,1,,Historical,Afternoon,Ashok Nagar
326,Southern,Karnataka,Bengaluru,Bangalore Palace,Palace,1878,2.0,4.5,250,1,Monday,A historic royal residence showcasing Tudor-style architecture.,Morning,Vasanth Nagar
327,Southern,Karnataka,Bengaluru,Cubbon Park,Park,1870,1.5,4.3,0,1,No off days,A large green space with historical monuments and a botanical garden.,Morning,MG Road
328,Southern,Karnataka,Bengaluru,Lalbagh Botanical Garden,Botanical Garden,1760,3.5,4.7,20,1,Monday,A famous botanical garden with a variety of flora and a glasshouse.,Morning,Mavalli
329,Southern,Karnataka,Bengaluru,Vidhana Soudha,Government Building,1956,1.0,4.6,0,1,No off days,An iconic building housing the legislature of Karnataka.,Morning,Shivaji Nagar
330,Southern,Karnataka,Bengaluru,Bangalore Fort,Fort,1537,1.0,4.2,0,1,No off days,A historical fort built by Kempe Gowda with remnants of its past.,Morning,K.R. Market
331,Southern,Karnataka,Bengaluru,ISKCON Temple,Temple,1997,2.0,4.8,0,1,Monday,A large ISKCON temple with a serene atmosphere and cultural events.,Morning,Rajajinagar
332,Southern,Karnataka,Bengaluru,Bannerghatta National Park,Zoo & National Park,1970,4.0,4.4,250,1,Tuesday,"A popular park with a zoo, safari, and butterfly park.",Morning,Bannerghatta
333,Southern,Karnataka,Bengaluru,National Gallery of Modern Art,Art Gallery,2009,2.5,4.5,20,1,Monday,A gallery showcasing modern and contemporary art by Indian artists.,Afternoon,Vasanth Nagar
334,Southern,Karnataka,Bengaluru,Karnataka Chitrakala Parishath,Art and Culture Centre,1960,2.0,4.3,30,1,Monday,"A cultural center promoting visual arts, with exhibitions and workshops.",Afternoon,Kumaraswamy Layout
335,Southern,Karnataka,Bengaluru,Ulsoor Lake,Lake,1850,2.0,4.0,0,1,No off days,A serene lake with boating facilities and a beautiful view.,Morning,Ulsoor
336,Southern,Karnataka,Bengaluru,Chitrakala Parishath,Art Gallery,1960,2.5,4.4,20,1,No off days,"A popular venue for exhibitions, theater, and cultural performances.",Afternoon,Kumaraswamy Layout
337,Western,Rajasthan,Jaipur,Jantar Mantar,Observatory,1734,1.5,4.3,50,1,,Architectural Site,Evening,Near City Palace
338,Western,Rajasthan,Jaipur,Jal Mahal,Palace,1799,1.0,4.2,0,1,,Beautiful Water Palace,Morning,Man Sagar Lake
339,Western,Rajasthan,Jaipur,Nahargarh Fort,Fort,1734,2.0,4.3,50,1,,Historical Fort,Evening,Amer Fort
340,Western,Rajasthan,Jaipur,Jaipur Zoo,Zoo,1877,1.5,4.0,50,1,,Animal Sanctuary,Morning,Moti Doongri Road
341,Western,Rajasthan,Jaipur,Birla Mandir,Temple,1988,1.0,4.4,0,1,,Cultural Temple,Morning,Near Moti Doongri
342,Western,Rajasthan,Jaipur,Galtaji Temple,Temple,1503,2.0,4.2,0,1,,Ancient Temple,Morning,Amer Fort
343,Western,Rajasthan,Jaipur,Vidyadhar Garden,Garden,1980,1.5,4.3,20,1,,Beautiful Garden,Morning,Near Galtaji Temple
344,Western,Rajasthan,Jaipur,Panna Meena Ka Kund,Step Well,1600,0.5,4.2,20,1,,Historical Step Well,Morning,Near Amber Fort
